"id","label","uf","pais","titulacao","grande_area","area","instituicao","cidade"
"6396258080561423","Romano Jose Carneiro da Cunha Costa","","","Especializacao","Ciencias Sociais Aplicadas","Direito","","Brasilia"
"9146011037687687","Janilson Clayton Jeronimo do Amaral","GO","Brasil","Especializacao","Ciencias Exatas e da Terra","Geociencias","Policia Militar do Estado de Goias","Goiania"
"8557301592308772","William Tito Schuman Marinho","","","Mestrado","Ciencias Humanas","Filosofia","","Goiania"
"2863372113789215","Joao Paulo Arnoldi Moracci","SP","Brasil","Mestrado","Ciencias Exatas e da Terra","Geociencias","Departamento de Policia Federal","Sao Paulo"
"7510603664954514","Maria da Conceicao Cavalcante Lucena","DF","Brasil","Doutorado","Ciencias Exatas e da Terra","Quimica","Agencia Nacional de Petroleo","BRASILIA"
"4201700719024810","Rodrigo Ribeiro de Faria","","","Graduacao","Outros","","","BRASILIA"
"1145252086016577","Marcus Aurelio do Bomfim Visgueira","PI","Brasil","Especializacao","Outros","Defesa","Departamento de Policia Federal","Teresina"
"6483745902813105","Guaracy Mingardi","","","Doutorado","","","","Teresina"
"7458223245275411","Nelson Edilberto Cerqueira","SP","Brasil","Especializacao","Ciencias Sociais Aplicadas","Direito","MINISTERIO DA JUSTICA","Araraquara"
"6574257294371367","Samuel Feuerharmel","","","Especializacao","","","","Araraquara"
"6179172097751842","Carlos Roberto Mariath","DF","Brasil","Especializacao","Ciencias Sociais Aplicadas","Direito","Departamento Penitenciario Nacional","Brasilia"
"6692290105832508","Barbara Ferreira da Cruz","","","Graduacao","Ciencias da Saude","Medicina","","Brasilia"
"3260093513061515","Irio Doria Junior","ES","Brasil","Especializacao","Outros","Defesa","Policia Militar do Estado do Espirito Santo","Vitoria"
"7322445969109612","Jorge Henrique Ramos Coelho","MG","Brasil","Graduacao","Ciencias Sociais Aplicadas","Direito","MINAS SEGURANCA","Belo Horizonte"
"6186162517705081","Marinaldo Teixeira Nascimento","","","Graduacao","Ciencias Sociais Aplicadas","Direito","","Belo Horizonte"
"0100663725029740","Jose Ignacio Cano Gestoso","RJ","Brasil","Pos-Doutorado","Ciencias Humanas","Sociologia","Departamento de Ciencias Sociais","Rio de Janeiro"
"4001544191185131","Manuel Monteiro Guedes Valente","","Portugal ","Doutorado","Ciencias Sociais Aplicadas","Direito","Instituto Superior de Ciencias Policiais e Seguranca Interna","Lisboa"
